"Date","OpenInterest","OpenInterestDifference"
"20171030",55424,2377
"20171031",54249,-1175
"20171101",50792,-3457
"20171102",50946,154
"20171103",48649,-2297
"20171106",46919,-1730
"20171107",49665,2746
"20171108",46642,-3023
"20171109",44498,-2144
"20171110",46346,1848
"20171113",46968,622
"20171114",44412,-2556
"20171115",38395,-6017
"20171116",39596,1201
"20171117",47274,7678
"20171120",43336,-3938
"20171121",45079,1743
"20171122",47559,2480
"20171123",47189,-370
"20171124",46909,-280
"20171127",42452,-4457
"20171128",42299,-153
"20171129",42114,-185
"20171130",37178,-4936
"20171201",39801,2623
"20171204",40521,720
"20171205",40346,-175
"20171206",40150,-196
"20171207",39222,-928
"20171208",36618,-2604
"20171211",38905,2287
"20171212",39279,374
"20171213",41694,2415
"20171214",44956,3262
"20171215",39747,-5209
"20171218",38194,-1553
"20171219",42655,4461
"20171220",45582,2927
"20171221",43574,-2008
"20171222",45169,1595
"20171225",45550,381
"20171226",43423,-2127
"20171227",48815,5392
"20171228",51327,2512
"20171229",48739,-2588
"20180102",52142,3403
"20180103",50931,-1211
"20180104",51919,988
"20180105",51706,-213
"20180108",49674,-2032
"20180109",53313,3639
"20180110",53725,412
"20180111",52468,-1257
"20180112",55077,2609
"20180115",50994,-4083
"20180116",48364,-2630
"20180117",52417,4053
"20180118",48666,-3751
"20180119",49412,746
"20180122",42269,-7143
"20180123",38665,-3604
"20180124",41562,2897
"20180125",46835,5273
"20180126",46788,-47
"20180129",44176,-2612
"20180130",48316,4140
"20180131",49683,1367
"20180201",47947,-1736
"20180202",44044,-3903
"20180205",40149,-3895
"20180206",43071,2922
"20180207",48188,5117
"20180208",45939,-2249
"20180209",42564,-3375
"20180212",42641,77
"20180221",47776,5135
"20180222",42893,-4883
"20180223",47984,5091
"20180226",44048,-3936
"20180227",45222,1174
"20180301",45256,34
"20180302",45748,492
"20180305",45149,-599
"20180306",47774,2625
"20180307",46274,-1500
"20180308",49664,3390
"20180309",48919,-745
"20180312",51104,2185
"20180313",50013,-1091
"20180314",47943,-2070
"20180315",48460,517
"20180316",41721,-6739
"20180319",43891,2170
"20180320",44253,362
"20180321",44430,177
"20180322",45537,1107
"20180323",45385,-152
"20180326",48813,3428
"20180327",46920,-1893
"20180328",43066,-3854
"20180329",43526,460
"20180330",48767,5241
"20180331",48786,19
"20180402",49141,355
"20180403",47464,-1677
"20180409",50160,2696
"20180410",49951,-209
"20180411",48604,-1347
"20180412",41572,-7032
"20180413",43418,1846
"20180416",41335,-2083
"20180417",36713,-4622
"20180418",39898,3185
"20180419",50162,10264
"20180420",31033,-19129
"20180423",29992,-1041
"20180424",28798,-1194
"20180425",28994,196
"20180426",28344,-650
"20180427",32426,4082